twoPtPassId,playId,teamId,playerId,twoPtPassPosition,twoPtPassConv,twoPtPassSack,twoPtPassComp,twoPtPassNull
400001,115,3800,20020081,QB,failed,0,0,0
400002,2564,3300,19990131,QB,good,0,1,0
400003,3999,325,20030019,QB,good,0,1,0
400004,4990,3900,20040011,QB,failed,0,0,0
400005,7442,750,19970478,QB,good,0,1,0
400006,10089,325,20030019,QB,failed,0,0,0
400007,11441,920,19960412,QB,failed,0,0,0
400008,12388,1050,20040106,QB,good,0,1,0
400009,15345,1400,19970889,P,failed,0,0,0
400010,15392,1400,19960130,QB,failed,0,0,0
400011,15597,2120,20020001,QB,failed,0,0,0
400012,16250,2520,19950005,QB,failed,0,0,0
400013,16262,2520,19950005,QB,failed,0,0,0
400014,16499,3800,20040202,QB,failed,0,0,0
400015,16873,810,20010603,QB,failed,0,0,0
400016,17193,2120,20020001,QB,failed,0,0,0
400017,17537,1540,20020003,QB,good,0,1,0
400018,17702,1540,20020003,QB,failed,0,0,0
400019,18712,1800,19910033,QB,good,0,1,0
400020,22458,2250,20030007,QB,good,0,1,0
400021,22670,3430,20000018,QB,good,0,1,0
400022,24244,2250,20030007,QB,good,0,1,0
400023,24425,2250,20030007,QB,good,0,1,0
400024,25357,2310,19950045,QB,failed,0,0,0
400025,26052,2310,19930222,QB,failed,0,0,0
400026,26400,2310,19930222,QB,good,0,1,0
400027,26751,2700,20010155,QB,good,0,1,0
400028,26931,2700,20010155,QB,good,0,1,0
400029,27425,2700,20010155,QB,failed,0,0,0
400030,27435,2700,20010155,QB,failed,0,0,0
400031,28496,810,20030022,QB,failed,0,1,0
400032,28805,3000,19990011,QB,good,0,1,0
400033,29313,3000,19990011,QB,failed,0,0,0
400034,31376,4600,19980187,QB,good,0,1,0
400035,32418,3300,20020186,QB,failed,0,0,0
400036,34031,1200,19870001,QB,good,0,1,0
400037,34659,3410,20040001,QB,failed,1,0,0
400038,35432,3430,20000018,QB,failed,0,0,0
400039,36405,3430,20000018,QB,failed,0,0,0
