twoPtRecId,playId,teamId,playerId,twoPointRecPosition,twoPtRecResult,twoPtRecComp,twoPtRecNull
410001,115,3800,19900017,RB,failed,0.0,0
410002,2564,3300,19960135,WR,good,1.0,0
410003,3999,325,20040199,WR,good,1.0,0
410004,4990,3900,20000008,WR,failed,0.0,0
410005,7442,750,20030076,TE,good,1.0,0
410006,11441,920,20030065,WR,failed,0.0,0
410007,12388,1050,19990069,TE,good,1.0,0
410008,15345,1400,19970137,TE,failed,0.0,0
410009,15597,2120,20020662,WR,failed,0.0,0
410010,16250,2520,20000047,WR,failed,0.0,0
410011,16262,2520,20020055,TE,failed,0.0,0
410012,16499,3800,20040003,WR,failed,0.0,0
410013,16873,810,19990179,TE,failed,0.0,0
410014,17193,2120,20020033,WR,failed,0.0,0
410015,17537,1540,19990171,WR,good,1.0,0
410016,17702,1540,19990171,WR,failed,0.0,0
410017,18712,1800,19990213,WR,good,1.0,0
410018,22458,2250,20040120,WR,good,1.0,0
410019,22670,3430,20010124,WR,good,1.0,0
410020,24244,2250,20040407,TE,good,1.0,0
410021,24425,2250,20040009,WR,good,1.0,0
410022,25357,2310,19960054,TE,failed,0.0,0
410023,26052,2310,19960018,WR,failed,0.0,0
410024,26400,2310,19960018,WR,good,1.0,0
410025,26751,2700,20020114,TE,good,1.0,0
410026,26931,2700,20010052,WR,good,1.0,0
410027,27425,2700,19990078,WR,failed,0.0,0
410028,27435,2700,20010052,WR,failed,0.0,0
410029,28496,810,20030143,WR,failed,1.0,0
410030,28805,3000,20030071,WR,good,1.0,0
410031,29313,3000,20030071,WR,failed,0.0,0
410032,31376,4600,20020028,TE,good,1.0,0
410033,32418,3300,20030704,TE,failed,0.0,0
410034,34031,1200,20030069,TE,good,1.0,0
410035,35432,3430,19950403,WR,failed,0.0,0
410036,36405,3430,20000027,TE,failed,0.0,0
410037,37865,4900,19950048,TE,failed,0.0,0
410038,37892,4900,19950048,TE,good,1.0,0
410039,38531,3700,20030061,TE,failed,0.0,0
410040,38706,750,20040062,WR,good,1.0,0
410041,39042,3700,19970407,TE,failed,0.0,0
410042,41760,2520,19980192,WR,good,1.0,0
410043,43529,4400,20020518,TE,failed,0.0,0
410044,44382,4600,20030657,WR,failed,0.0,0
410045,44708,4600,20000080,WR,good,1.0,0
410046,45851,4500,20030161,TE,failed,0.0,0
410047,45928,4500,20030124,WR,good,1.0,0
410048,46110,4500,20030124,WR,failed,0.0,0
410049,46865,4500,20040031,WR,failed,0.0,0
410050,47221,4500,19930007,WR,failed,0.0,0
410051,47261,4500,19930007,WR,good,1.0,0
410052,48041,3300,20010548,TE,failed,0.0,0
410053,48072,2510,20030074,WR,good,1.0,0
410054,48213,3430,20000027,TE,failed,0.0,0
410055,49360,4900,19950008,WR,failed,0.0,0
410056,49508,4900,20030451,TE,failed,0.0,0
410057,51451,1540,20040007,WR,failed,0.0,0
410058,52077,2100,19970098,WR,failed,0.0,0
410059,52094,2250,20040009,WR,good,1.0,0
410060,53123,5110,20030044,WR,good,1.0,0
410061,53297,1400,20020599,WR,good,1.0,0
410062,53466,1800,20010041,WR,good,1.0,0
410063,53628,3000,20030105,RB,good,1.0,0
1410001,1001100,3800,20030054,WR,failed,0.0,0
1410002,1001969,200,19980478,WR,good,1.0,0
1410003,1002140,200,19980478,WR,good,1.0,0
1410004,1002616,200,19980478,WR,good,1.0,0
1410005,1003444,2100,20050549,TE,good,1.0,0
1410006,1004075,325,20020590,WR,failed,0.0,0
1410007,1005092,325,20020590,WR,failed,0.0,0
1410008,1005122,325,20020590,WR,good,1.0,0
1410009,1007150,1800,20010478,WR/KR,failed,0.0,0
1410010,1007160,750,20010074,WR,failed,0.0,0
1410011,1007170,1800,20010198,TE,good,1.0,0
1410012,1007192,1800,20010041,WR,good,1.0,0
1410013,1007988,3900,20050430,WR,good,1.0,0
1410014,1010271,920,20020067,TE,good,1.0,0
1410015,1011403,3000,19970108,WR,good,1.0,0
1410016,1017091,5110,19960458,WR,failed,0.0,0
1410017,1020943,2120,20010557,TE,failed,0.0,0
1410018,1021927,2120,19980150,WR,good,1.0,0
1410019,1023188,2200,20010030,WR,good,1.0,0
1410020,1025953,3200,19950039,TE,failed,0.0,0
1410021,1026283,2520,20000047,WR,failed,0.0,0
1410022,1026428,3700,20020091,RB,good,1.0,0
1410023,1026901,2310,20010616,WR,good,1.0,0
